DateTime,Score
2021-11-18-03-38,106.48530000000001
2021-11-18-03-40,106.48530000000001
2021-11-18-03-42,107.2714
2021-11-18-03-44,108.42970000000001
2021-11-18-03-45,109.27969999999999
2021-11-18-03-58,110.5329
2021-11-18-03-59,110.1436
2021-11-18-04-13,112.08149999999998
2021-11-18-04-15,112.26009999999997
2021-11-18-04-16,110.33089999999999
2021-11-18-04-29,114.01149999999998
2021-11-18-04-30,114.77969999999999
2021-11-18-04-44,116.41269999999999
2021-11-18-04-46,115.82939999999998
2021-11-18-05-00,115.1855
2021-11-18-05-01,115.23670000000001
2021-11-18-05-03,114.43950000000001
2021-11-18-05-15,113.5995
2021-11-18-05-17,113.5995
2021-11-18-05-30,113.12740000000002
2021-11-18-05-32,113.27740000000001
2021-11-18-05-46,110.83950000000003
2021-11-18-05-47,110.09630000000001
2021-11-18-06-01,111.4819
2021-11-18-06-03,110.5826
2021-11-18-06-17,118.07139999999994
2021-11-18-06-18,117.58329999999994
2021-11-18-06-32,117.49359999999992
2021-11-18-06-34,117.9435999999999
2021-11-18-06-48,114.51119999999993
2021-11-18-06-49,114.42679999999991
2021-11-18-07-03,108.97669999999992
2021-11-18-07-05,108.62599999999992
2021-11-18-07-19,107.32019999999994
2021-11-18-07-20,106.84019999999994
2021-11-18-07-34,106.32819999999994
2021-11-18-07-36,106.32819999999994
2021-11-18-07-49,108.15339999999996
2021-11-18-07-51,108.15339999999996
2021-11-18-08-05,106.20919999999995
2021-11-18-08-06,106.83419999999995
2021-11-18-08-20,107.14969999999992
2021-11-18-08-22,106.39749999999992
2021-11-18-08-36,107.19159999999988
2021-11-18-08-37,108.26659999999988
2021-11-18-08-51,111.28299999999989
2021-11-18-08-53,111.72589999999988
2021-11-18-09-07,110.64419999999987
2021-11-18-09-08,110.78939999999987
2021-11-18-09-22,112.04799999999994
2021-11-18-09-23,112.46469999999994
2021-11-18-09-37,109.91259999999993
2021-11-18-09-39,109.86079999999993
2021-11-18-09-53,103.79909999999998
2021-11-18-09-54,104.24429999999998
2021-11-18-10-08,104.12539999999998
2021-11-18-10-10,105.05869999999997
2021-11-18-10-24,107.36389999999996
2021-11-18-10-25,107.52389999999995
2021-11-18-10-39,112.26259999999996
2021-11-18-10-41,112.41259999999997
2021-11-18-10-55,113.18149999999996
2021-11-18-10-56,113.06479999999995
2021-11-18-11-10,116.02339999999995
2021-11-18-11-11,116.03169999999996
2021-11-18-11-25,108.65649999999997
2021-11-18-11-27,108.03149999999997
2021-11-18-11-41,109.16159999999996
2021-11-18-11-42,109.06159999999997
2021-11-18-11-56,106.77039999999994
2021-11-18-11-58,106.48709999999994
2021-11-18-12-12,102.74579999999997
2021-11-18-12-13,102.98019999999997
2021-11-18-12-27,104.33659999999993
2021-11-18-12-29,104.33659999999993
2021-11-18-12-43,107.97709999999995
2021-11-18-12-44,108.39789999999996
2021-11-18-12-58,106.90809999999996
2021-11-18-13-00,106.43309999999995
2021-11-18-13-14,105.67909999999993
2021-11-18-13-16,105.82629999999993
2021-11-18-13-30,108.65779999999998
2021-11-18-13-31,109.64779999999999
2021-11-18-13-45,112.47099999999992
2021-11-18-13-47,112.50429999999992
2021-11-18-14-01,113.0188999999999
2021-11-18-14-02,113.38279999999989
2021-11-18-14-16,115.22709999999988
2021-11-18-14-18,114.25159999999988
2021-11-18-14-32,109.61899999999987
2021-11-18-14-33,110.61899999999986
2021-11-18-14-47,109.99779999999986
2021-11-18-14-49,109.85719999999985
2021-11-18-15-03,106.70049999999986
2021-11-18-15-06,106.75049999999987
2021-11-18-15-19,107.58119999999987
2021-11-18-15-21,107.81069999999987
2021-11-18-15-34,108.88909999999987
2021-11-18-15-37,108.92819999999988
2021-11-18-15-50,108.09389999999988
2021-11-18-15-52,107.38139999999987
2021-11-18-16-05,105.66969999999988
2021-11-18-16-07,105.14469999999987
2021-11-18-16-21,104.57619999999987
2021-11-18-16-22,106.2234999999999
2021-11-18-16-36,107.61089999999992
2021-11-18-16-38,108.25469999999993
2021-11-18-16-52,109.12929999999994
2021-11-18-16-53,109.12929999999994
2021-11-18-17-07,108.30049999999991
2021-11-18-17-09,107.95929999999991
2021-11-18-17-23,106.6655999999999
2021-11-18-17-24,106.6655999999999
2021-11-18-17-38,107.79979999999989
2021-11-18-17-40,107.79979999999989
2021-11-18-17-54,110.6767999999999
2021-11-18-17-56,110.6767999999999
2021-11-18-18-10,112.60269999999993
2021-11-18-18-11,113.22689999999993
2021-11-18-18-25,113.27689999999993
2021-11-18-18-27,112.54629999999995
2021-11-18-18-41,112.16109999999995
2021-11-18-18-42,112.16109999999995
2021-11-18-18-56,112.95539999999995
2021-11-18-18-58,112.95539999999995
2021-11-18-19-12,110.76849999999995
2021-11-18-19-13,110.08519999999994
2021-11-18-19-27,109.77529999999996
2021-11-18-19-29,109.77529999999996
2021-11-18-19-43,111.42869999999995
2021-11-18-19-44,111.99539999999996
2021-11-18-19-58,114.21139999999997
2021-11-18-20-00,114.57809999999996
2021-11-18-20-14,116.53299999999997
2021-11-18-20-16,115.28949999999996
2021-11-18-20-30,116.32339999999996
2021-11-18-20-31,117.03019999999998
2021-11-18-20-45,116.40769999999999
2021-11-18-20-47,116.40769999999999
2021-11-18-21-01,118.1993
2021-11-18-21-02,118.1993
2021-11-18-21-16,118.34510000000002
2021-11-18-21-18,118.0087
2021-11-18-21-32,119.24259999999995
2021-11-18-21-33,119.24259999999995
2021-11-18-21-47,121.98689999999993
2021-11-18-21-49,122.68899999999992
2021-11-18-22-03,120.94179999999993
2021-11-18-22-04,120.94179999999993
2021-11-18-22-18,117.83339999999991
2021-11-18-22-20,117.40839999999992
2021-11-18-22-34,116.71779999999993
2021-11-18-22-35,117.43209999999993
2021-11-18-22-49,117.08679999999993
2021-11-18-22-51,117.27429999999991
